Date,HomeTeam,AwayTeam,HS,AS,HST,AST,FTHG,FTAG,WRH,WRA,PH,PA,FTR
28/10/14,Sassuolo,Empoli,23,16,6,6,3,1,22,11,0,-1,H
29/10/14,Atalanta,Napoli,7,18,2,6,1,1,22,37,-2,3,D
29/10/14,Cagliari,Milan,16,13,5,3,1,1,22,44,1,2,D
29/10/14,Fiorentina,Udinese,27,5,9,1,3,0,33,55,1,0,H
29/10/14,Genoa,Juventus,4,16,3,4,1,0,44,77,2,2,H
29/10/14,Inter,Sampdoria,17,10,5,4,1,0,44,44,0,1,H
29/10/14,Palermo,Chievo,16,15,6,3,1,0,22,11,-1,-4,H
29/10/14,Roma,Cesena,16,4,6,1,2,0,77,11,2,-3,H
29/10/14,Torino,Parma,15,10,5,2,1,0,33,11,0,-5,H
30/10/14,Verona,Lazio,11,10,3,3,1,1,33,55,-2,4,D
01/11/14,Empoli,Juventus,12,18,4,7,0,2,10,80,-2,2,A
01/11/14,Napoli,Roma,15,8,6,2,2,0,44,70,3,0,H
01/11/14,Parma,Inter,11,14,4,1,2,0,20,40,-3,0,H
02/11/14,Chievo,Sassuolo,12,9,1,3,0,0,10,20,-4,1,D
02/11/14,Milan,Palermo,14,13,3,7,0,2,40,30,1,1,A
02/11/14,Sampdoria,Fiorentina,12,16,6,5,3,1,50,30,1,0,H
02/11/14,Torino,Atalanta,20,7,2,1,0,0,30,20,0,-1,D
02/11/14,Udinese,Genoa,15,13,2,6,2,4,50,50,-2,4,A
03/11/14,Cesena,Verona,8,11,4,2,1,1,10,30,-3,-1,D
03/11/14,Lazio,Cagliari,11,9,5,4,4,2,60,20,4,-1,H
08/11/14,Sampdoria,Milan,19,10,8,3,2,2,45,36,0,0,D
08/11/14,Sassuolo,Atalanta,14,10,5,0,0,0,18,18,2,0,D
09/11/14,Cagliari,Genoa,13,9,5,5,1,1,18,45,0,3,D
09/11/14,Chievo,Cesena,19,9,6,3,2,1,18,9,-2,-4,H
09/11/14,Empoli,Lazio,7,7,2,1,2,1,18,54,-2,2,H
09/11/14,Fiorentina,Napoli,14,19,2,5,0,1,27,50,-2,3,A
09/11/14,Inter,Verona,18,17,4,5,2,2,36,27,1,-2,D
09/11/14,Juventus,Parma,22,4,11,1,7,0,81,18,2,-3,H
09/11/14,Palermo,Udinese,20,12,4,6,1,1,27,45,2,-2,D
09/11/14,Roma,Torino,14,12,8,4,3,0,72,27,2,0,H
22/11/14,Atalanta,Roma,9,6,1,2,1,2,16,75,-2,2,A
22/11/14,Lazio,Juventus,14,10,4,4,0,3,50,83,0,3,A
23/11/14,Cesena,Sampdoria,8,19,3,6,1,1,8,41,-3,0,D
23/11/14,Milan,Inter,10,8,2,3,1,1,33,33,-1,1,D
23/11/14,Napoli,Cagliari,14,11,6,8,3,3,45,16,3,0,D
23/11/14,Parma,Empoli,10,6,2,5,0,2,16,25,-3,-1,A
23/11/14,Torino,Sassuolo,12,14,5,6,0,1,25,25,-2,3,A
23/11/14,Udinese,Chievo,9,14,3,5,1,1,41,16,-1,-1,D
23/11/14,Verona,Fiorentina,10,14,3,6,1,2,25,33,-2,0,A
24/11/14,Genoa,Palermo,15,11,2,5,1,1,41,25,3,1,D
29/11/14,Chievo,Lazio,8,12,2,4,0,0,15,46,0,-1,D
29/11/14,Sassuolo,Verona,17,11,4,1,2,1,30,23,3,-2,H
30/11/14,Cagliari,Fiorentina,14,17,5,7,0,4,15,38,-2,1,A
30/11/14,Cesena,Genoa,11,15,3,5,0,3,7,46,-3,3,A
30/11/14,Empoli,Atalanta,21,6,4,1,0,0,23,15,0,-1,D
30/11/14,Juventus,Torino,16,16,3,5,2,1,84,23,3,-2,H
30/11/14,Milan,Udinese,18,6,6,0,2,0,38,38,0,-3,H
30/11/14,Palermo,Parma,15,14,4,5,2,1,30,15,3,-3,H
30/11/14,Roma,Inter,18,10,6,4,4,2,76,30,3,-1,H
01/12/14,Sampdoria,Napoli,14,14,3,2,1,1,38,41,0,2,D
05/12/14,Fiorentina,Juventus,9,10,1,3,0,0,35,78,0,4,D
06/12/14,Roma,Sassuolo,21,6,5,3,2,2,71,28,2,2,D
06/12/14,Torino,Palermo,20,7,6,3,2,2,21,28,-3,2,D
07/12/14,Atalanta,Cesena,20,8,6,3,3,2,21,7,0,-3,H
07/12/14,Genoa,Milan,13,15,4,6,1,0,50,35,3,-1,H
07/12/14,Inter,Udinese,16,16,2,6,1,2,28,42,-3,-1,A
07/12/14,Napoli,Empoli,20,10,10,4,2,2,38,21,2,1,D
07/12/14,Parma,Lazio,8,15,1,5,1,2,14,50,-3,0,A
08/12/14,Cagliari,Chievo,10,10,1,5,0,2,14,21,-3,2,A
08/12/14,Verona,Sampdoria,15,13,6,7,1,3,21,42,-3,2,A
13/12/14,Lazio,Atalanta,23,6,9,1,3,0,53,20,0,-1,H
13/12/14,Palermo,Sassuolo,13,14,4,7,2,1,33,26,2,1,H
14/12/14,Cesena,Fiorentina,5,15,0,6,1,4,6,40,-4,2,A
14/12/14,Genoa,Roma,7,19,1,6,0,1,46,73,1,4,A
14/12/14,Juventus,Sampdoria,19,10,8,3,1,1,73,40,3,1,D
14/12/14,Milan,Napoli,11,14,3,7,2,0,40,35,1,0,H
14/12/14,Parma,Cagliari,6,12,0,3,0,0,13,13,-4,-2,D
14/12/14,Udinese,Verona,13,9,6,4,1,2,40,26,-1,-2,A
15/12/14,Chievo,Inter,8,18,3,8,0,2,20,33,1,-1,A
15/12/14,Empoli,Torino,17,10,3,3,0,0,20,20,2,-3,D
18/12/14,Cagliari,Juventus,16,13,2,7,1,3,12,75,-3,3,A
18/12/14,Napoli,Parma,18,3,7,0,2,0,40,12,0,-4,H
20/12/14,Roma,Milan,16,9,5,7,0,0,68,37,3,1,D
20/12/14,Sassuolo,Cesena,17,6,9,2,1,1,25,6,1,-3,D
21/12/14,Atalanta,Palermo,13,15,5,5,3,3,18,31,-1,2,D
21/12/14,Fiorentina,Empoli,18,9,6,4,1,1,37,18,3,1,D
21/12/14,Inter,Lazio,16,5,6,2,2,2,31,50,-1,1,D
21/12/14,Sampdoria,Udinese,20,8,5,4,2,2,37,37,1,-1,D
21/12/14,Torino,Genoa,10,12,4,4,2,1,25,43,-1,0,H
21/12/14,Verona,Chievo,12,10,1,4,0,1,25,25,-3,1,A
05/01/15,Lazio,Sampdoria,21,2,8,1,3,0,52,35,3,0,H
06/01/15,Cesena,Napoli,10,16,3,6,1,4,5,43,-4,1,A
06/01/15,Chievo,Torino,18,8,6,3,0,0,23,23,1,0,D
06/01/15,Empoli,Verona,19,10,5,5,0,0,17,23,0,-2,D
06/01/15,Genoa,Atalanta,17,7,7,6,2,2,41,17,0,0,D
06/01/15,Juventus,Inter,11,13,5,2,1,1,70,29,2,-1,D
06/01/15,Milan,Sassuolo,13,8,4,2,1,2,35,29,0,1,A
06/01/15,Palermo,Cagliari,16,11,7,2,5,0,35,11,3,-4,H
06/01/15,Parma,Fiorentina,6,17,2,7,1,0,17,35,-2,1,H
